SampleID,MouseID,Inoculum,dpi,Viral NT Titer,Viral Lung Titer,Viral Brain Titer,Acitivity
BS.211,13,0,2,0,0,0,0
BS.212,14,0,2,0,0,0,0
BS.234,45,3,2,5.270252445,5.639362126,0.3,0
BS.235,46,3,2,0.3,0.3,0.524760215,0
BS.236,47,3,2,6.329127844,3.205608449,0.550427219,0
BS.241,56,5,2,5.186723442,0.3,0.3,0
BS.242,57,5,2,3.706909293,6.003397954,5.180136075,0
BS.243,58,5,2,5.106175975,7.014613665,4.043810195,0
BS.209,11,0,5,0,0,0,0
BS.210,12,0,5,0,0,0,0
BS.231,42,3,5,3.909459927,0.3,1.817163407,0
BS.232,43,3,5,3.540020497,6.394057427,1.14096238,0
BS.233,44,3,5,1.638214059,0.950432503,0.578100519,0
BS.238,53,5,5,6.078935307,0.3,0.370971984,3
BS.239,54,5,5,0.3,6.523190123,0.3,1
BS.240,55,5,5,0.3,9.388057638,3.530663504,2
BS.205,7,0,14,0,0,0,0
BS.206,8,0,14,0,0,0,0
BS.207,9,0,14,0,0,0,0
BS.228,37,3,14,0,0,0,0
BS.229,38,3,14,0,0,0,0
BS.230,39,3,14,0,0,0,0
BS.237,51,5,14,0,0,0,0
